Salary,playerID,POS,AB_bat,G_bat,pa,HR_bat,R_bat,RBI_bat,SB_bat,BB_bat,SO_bat,ISO,BABIP,AVG,OBP,SLUG,wOBA,wRC,wSB,BsR,Def,Off,WAR,TeamFit,Team Fit,Land Prob,Available,Bats,Throws,Full Name,Team,Min Def,Max Def,Min Off,Max Off,Min Team Fit,Max Team Fit,Bargain 2,Off (Norm),Def (Norm),Min Bargain 2,Max Bargain 2
564000,rosarra01,RP,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.135888802,0,0,3.989473684,-0.276577355,0,0.338951084,0.338951084,0.237217183,0,Left,Left, Randy Miguel Rosario ,Kansas City Royals,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,0.231339848,57.72155537,65.03056633,-0.00000172,9.99E-05
7000000,rosentr01,RP,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.745454545,0,0,0.383565936,0.383565936,0.63509975,0,Right,Right, Trevor Jordan Rosenthal ,Kansas City Royals,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,5.98E-02,58.0903995,65.4964666,-0.00000172,9.99E-05
610000,rosscza01,RP,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.414285714,0,0,0.332737871,0.332737871,0.000168829,0,Right,Left, Zachary M. Rosscup ,z-Unknown,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,0.210670879,58.0903995,65.14327828,-0.00000172,9.99E-05
5750000,rossty01,SP,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,0,0,0.820935239,0.820935239,0.888738435,1,Right,Right, Tyson William Ross ,z-Unknown,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,0.110816822,58.0903995,68.535609,-0.00000172,9.99E-05
558500,ruizri01,3B,370,127,413,12,35,46,0,40,88,0.143243243,0.272058824,0.232432432,168,103.0972973,0.236308252,20.30338156,-0.75023,409.289971,54.21052632,-29.63810121,88.55768949,50.59270411,50.59270411,0.788178915,1,Left,Right, Rio Noble Ruiz ,Baltimore Orioles,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,55.66252234,18.56496566,78.35531419,-0.00000172,9.99E-05
559300,rumbeni01,RP,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.53333333,0,0,0.604564711,0.604564711,0.471535268,0,Right,Right, Nicholas Bruno Rumbelow ,z-Unknown,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,0.525493584,58.0903995,67.03211792,-0.00000172,9.99E-05
1687500,rusinch01,RP,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0.591837033,0.591837033,0.052402271,0,Left,Left, Christopher Patrick Rusin ,z-Unknown,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,0.196569828,58.0903995,66.94367727,-0.00000172,9.99E-05
3400000,russead02,SS,215,82,241,9,25,23,2,20,58,0.153488372,0.28,0.237209302,96.01395349,57.1255814,0.254752101,15.3285249,0.18134,235.2989871,28.69158879,-13.33621047,72.14442376,30.41249283,30.41249283,0.449205215,0,Right,Right, Addison Wayne Russell ,z-Unknown,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,5.520907055,40.30520129,71.5845798,-0.00000172,9.99E-05
900000,ryanky01,C,2,73,3,0,0,0,0,1,1,0,0,0,2,0,0,-0.407666406,-0.00377,2.99623,0,-0.829732066,50.06762141,2.333993455,2.333993455,0.192345574,0,Left,Left, Kyle Ryan ,Chicago Cubs,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,1.525614629,56.98386708,63.97207137,-0.00000172,9.99E-05
17900000,ryuhy01,SP,51,30,67,1,3,3,0,4,23,0.078431373,0.259259259,0.156862745,16,9.058823529,0.158181818,-0.805268741,-0.0377,54.9623,2.682758621,-9.212447552,53.90076729,7.848128223,7.848128223,0.609560644,0,Right,Left, Hyun-Jin Ryu ,Toronto Blue Jays,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,0.304895683,45.80466016,64.68386613,-0.00000172,9.99E-05
